City,Street,Community,FinalPrice,Period_of_Transaction,Number_of_Bedrooms,Number_of_Livlingrooms,Number_of_Kitchens,Number_of_Bathrooms,Heading,Listing_Price,Year_of_Construction,Area,Price_per_squaremeter,Elevator,Floorlevel,Decoration
Hangzhou,Hubin,Gaungfuluxiaoqu,1.8,131,2,1,1,1,East  ,2.3,1989,57.8㎡          ,31142,No           ,Low           ,None     
Hangzhou,Gulou,Jianguonanyuan,1.4,91,1,1,1,1,East   ,1.68,1997,36.74㎡          ,38106,Yes           ,Mid        ,Fine     
Hangzhou,Gulou,Baoanqiaozhijie,2.6,39,2,1,1,1,South   ,2.65,1985,55.59㎡          ,46772,No           ,High           ,Fine     
Hangzhou,Gulou,Saililvchengliyuan,8.6,192,3,2,1,2,South ,12.5,2010,158.47㎡          ,54269,Yes           ,High           ,Fine     
Hangzhou,Gulou,Houchaogongyu,2.03,92,2,1,1,1,South   ,2.15,1998,46.95㎡          ,43238,No           ,Low           ,Mediocre     
Hangzhou,Gulou,Chaqiunong,2.15,242,2,1,1,1,East   ,2.48,2000,50.03㎡          ,42975,No           ,Low           ,Mediocre     
Hangzhou,Gulou,Baoanqiaohexia,1.83,77,1,1,1,1,South   ,1.85,1985,42.95㎡          ,42608,No           ,High           ,Fine     
Hangzhou,Gulou,Jinshiyuan,2.07,46,2,1,1,1,South   ,2.15,1998,46.17㎡          ,44835,No           ,High           ,Mediocre     
Hangzhou,Gulou,Damanong,1.7,258,1,1,1,1,South   ,2.43,1982,40.49㎡          ,41986,No           ,Low           ,Mediocre     
Hangzhou,Gulou,Jinshiyuan,1.995,36,2,1,1,1,South   ,2.05,1998,45.73㎡          ,43626,No           ,Low           ,Mediocre     
Hangzhou,Gulou,Jianguonanyuan,3.5,18,2,2,1,1,South   ,3.65,1997,75.23㎡          ,46524,No           ,High           ,Fine     
Hangzhou,Fuxing,Fuxingbeiyuan,2.11,71,2,1,1,1,South   ,2.17,1998,47.91㎡          ,44041,No           ,Mid        ,Mediocre     
Hangzhou,Fuxing,Shimutianjiayuan,1.25,20,1,1,1,1,South   ,1.6,2003,35.79㎡          ,34926,No           ,Mid         ,Mediocre     
Hangzhou,Fuxing,Meizhenghuayuan,2,123,2,1,1,1,South ,2.45,1998,52.61㎡          ,38016,No           ,High        ,Mediocre     
Hangzhou,Fuxing,Meizhenghuayuan,3.52,116,2,1,1,1,South,3.6,2000,77.97㎡          ,45146,No           ,Low           ,Fine     
Hangzhou,Fuxing,Meizhenghuayuan,3.148,131,3,1,1,1,South,3.2,1999,72.05㎡          ,43692,No           ,High           ,Fine     
Hangzhou,Fuxing,Fuxinnanyuan,1.35,22,1,1,1,1,South,1.48,1998,33.82㎡          ,39918,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,1.8,65,2,1,1,1,South   ,1.88,2000,47.33㎡          ,38031,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,4,117,5,1,1,2,South   ,4.98,2000,126.97㎡          ,31504,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Fuxingbeiyuan,1.5,76,1,1,1,1,South   ,1.55,1998,33.9㎡          ,44248,No           ,Mid           ,None     
Hangzhou,Fuxing,Jinzongtanhuayuan,6.9,53,4,2,1,2,South,7.06,2003,172.2㎡          ,40070,Yes           ,Low           ,Fine     
Hangzhou,Fuxing,Fuxingbeiyuan,1.6,33,1,1,1,1,South   ,1.68,1998,33.88㎡          ,47226,No           ,Low           ,Fine     
Hangzhou,Fuxing,Fuxinnanyuan,1.94,33,2,1,1,1,South   ,2,1998,48.06㎡          ,40367,No           ,High           ,Mediocre     
